Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2013,S08000017,,65-74 years,,Males,,Coronary Heart Disease,37,,395.299145299145,,406.12878606878553
2013,S08000017,,65-74 years,,Females,,Coronary Heart Disease,17,,169.356445507073,,173.07496913766067
2013,S08000017,,75plus years,,Males,,Coronary Heart Disease,105,,1568.80322725235,,1833.883073723571
2013,S08000017,,75plus years,,Females,,Coronary Heart Disease,75,,837.520938023451,,800.6316116037025
2013,S08000019,,0-44 years,,Males,,Coronary Heart Disease,5,,6.14892701223637,,5.907292637150457
2013,S08000019,,0-44 years,,Females,,Coronary Heart Disease,2,,2.44436024981362,,2.669609034190429
2013,S08000019,,45-64 years,,Males,,Coronary Heart Disease,48,,116.859403530128,,120.63666851324813
2013,S08000019,,45-64 years,,Females,,Coronary Heart Disease,14,,32.8137817883511,,33.94599191323159
2013,S08000019,,65-74 years,,Males,,Coronary Heart Disease,60,,423.190859077444,,437.2170611671756
2013,S08000019,,65-74 years,,Females,,Coronary Heart Disease,21,,132.87775246773,,136.2887128323169
2013,S08000019,,75plus years,,Males,,Coronary Heart Disease,115,,1246.88279301746,,1401.4795580345408
2013,S08000019,,75plus years,,Females,,Coronary Heart Disease,127,,934.579439252336,,935.2279841807156
2013,S08000020,,0-44 years,,Males,,Coronary Heart Disease,7,,4.21473471255509,,4.354984494393165
